Submission ID,Respondent ID,black_Too.Cheap,black_Bargain,black_Pricey,black_Too.Expensive,white_Too.Cheap,white_Bargain,white_Pricey,white_Too.Expensive
rjXo5M5,2E4d1b9,5.0,15.0,80.0,100.0,5.0,15.0,60.0,80.0
eqbarro,GxrEQve,40.0,55.0,150.0,200.0,20.0,40.0,80.0,150.0
Npz7XPQ,gD5PkAd,20.0,20.0,200.0,200.0,20.0,20.0,200.0,200.0
VLrzzNy,pbLqk8Z,80.0,25.0,70.0,80.0,100.0,35.0,85.0,100.0
Xxj40QP,ZjdkDWA,50.0,70.0,160.0,185.0,60.0,85.0,160.0,190.0
kdLNEL6,obANvLx,20.0,40.0,70.0,100.0,25.0,50.0,80.0,120.0
kdLNykM,eqBOzJx,50.0,79.0,100.0,120.0,50.0,79.0,100.0,120.0
Y524Mr6,kdYjxpJ,100.0,60.0,150.0,180.0,100.0,60.0,150.0,180.0
rjXodX5,gD5PryO,30.0,50.0,100.0,120.0,30.0,60.0,110.0,130.0
819ZERk,ZjdkbZV,70.0,120.0,250.0,300.0,70.0,120.0,250.0,300.0
D4L7PGq,68d0l7o,20.0,30.0,100.0,150.0,20.0,40.0,120.0,170.0
Y524v1d,pbLqEAP,25.0,25.0,100.0,150.0,25.0,25.0,100.0,150.0
Zjx2bDv,vGN6kj8,30.0,40.0,100.0,110.0,40.0,50.0,120.0,130.0
aQWYYKq,VLZW7EN,40.0,100.0,300.0,350.0,40.0,100.0,300.0,350.0
68q2dJJ,pbLYq8b,30.0,40.0,100.0,120.0,30.0,40.0,100.0,120.0
vGRy2g8,xXd850v,20.0,30.0,50.0,60.0,15.0,25.0,45.0,55.0
GxMdByO,vGN8Z50,100.0,130.0,400.0,600.0,130.0,90.0,200.0,350.0
b5axzeL,QKANPQ8,15.0,40.0,70.0,90.0,20.0,30.0,60.0,100.0
obJMpxe,5BdPKBE,80.0,50.0,75.0,100.0,100.0,70.0,80.0,90.0
aQWY1rW,vGN5X7Q,40.0,90.0,180.0,250.0,40.0,80.0,180.0,250.0
kdL6LzM,Y5ZreQW,70.0,100.0,170.0,200.0,50.0,90.0,150.0,180.0
WO4Nrlk,2E4GrB9,50.0,90.0,170.0,200.0,40.0,70.0,140.0,190.0
vGRApvg,kdYBxNj,70.0,45.0,60.0,80.0,100.0,60.0,130.0,150.0
vGRA5YD,QKAlql1,15.0,60.0,100.0,150.0,15.0,60.0,100.0,120.0
lbpWVDX,BzGrlKY,55.0,60.0,110.0,140.0,60.0,50.0,95.0,130.0
vGRqb0D,q4b0kN2,120.0,60.0,140.0,190.0,90.0,45.0,100.0,120.0
Pdovd0x,RGzEqMQ,30.0,40.0,100.0,130.0,40.0,60.0,120.0,140.0
xXG4kPd,LZdQv7O,40.0,60.0,115.0,130.0,40.0,60.0,120.0,140.0
gDBYyBJ,LZdQv7O,40.0,60.0,110.0,120.0,35.0,50.0,110.0,120.0
GxMqev2,NpAeR50,40.0,85.0,130.0,150.0,40.0,95.0,140.0,160.0
68qWLWJ,ODAWkak,20.0,50.0,120.0,150.0,40.0,80.0,140.0,150.0
QKGkzoY,RGzXElK,60.0,20.0,90.0,120.0,15.0,30.0,60.0,90.0
VLrDx5J,RGzEqMQ,60.0,70.0,130.0,150.0,60.0,70.0,130.0,150.0
