"Submission ID","Respondent ID","Submitted at","In che lingua preferisci svolgere questo sondaggio? - 
In which language would you prefer to take the survey?","Hai mai acquistato delle scarpe da calcio?","Qual è il tuo genere?","Che lavoro fai?","Da dove provieni?","Quanti anni hai?","Di solito, in che ruolo giochi?","Quante volte ti capita di giocare a calcio al mese?","Su quale tipologia di campo giochi più spesso?","Quanto hai pagato l'ultimo paio di scarpe da calcio che hai acquistato?","E al momento dell'acquisto, preferisci...","Peso della scarpa","Morbidezza del materiale","Aderenza al piede
","Durabilità","Popolarità del brand","Capacità di controllo e sensibilità con la palla","Vestibilità facilitata (ex. assenza di lacci)","Ampia scelta di colorazioni","Quanto sei d'accordo con la seguente affermazione: ""Preferisco spendere di più per avere una qualità migliore""","Hai mai sentito parlare del brand ""Akuna - Cinquestelle 1911""?","Artigianalità","Durabilità (2)","Popolarità","Performance","Qualità","Artigianalità (2)","Durabilità (3)","Popolarità (2)","Performance (2)","Qualità (2)","Artigianalità (3)","Durabilità (4)","Popolarità (3)","Performance (3)","Qualità (3)","Artigianalità (4)","Durabilità (5)","Popolarità (4)","Performance (4)","Qualità (4)","Artigianalità (5)","Durabilità (6)","Popolarità (5)","Performance (5)","Qualità (5)","A che prezzo il prodotto sembrerebbe di così scarsa qualità da non considerare più di acquistarlo?","A che prezzo il prodotto inizierà a sembrare un affare troppo conveniente?","A che prezzo il prodotto comincerà a sembrare troppo caro?","A che prezzo il prodotto sarebbe definitivamente troppo costoso?","A che prezzo il prodotto sembrerebbe di così scarsa qualità da non considerare più di acquistarlo? (2)","A che prezzo il prodotto inizierà a sembrare un affare troppo conveniente? (2)","A che prezzo il prodotto comincerà a sembrare troppo caro? (2)","A che prezzo il prodotto sarebbe definitivamente troppo costoso? (2)","Have you ever bought a pair of football boots? ","What is your gender ? ","What is your occupation?","Where are you from? ","How old are you ? ","Usually, what role do you play ?","How often do you play football on a monthly basis ?","Which type of playing field do you most frequently play on?
","How much did you pay for the last pair of football boots ?","Where would you prefer buying ?  ","Boot weight ","Softness of the material
","Foot Fit 
","Durability
","Brand Reputation","Ball control and responsiveness
","Ease of fit (i.e. laceless design)
","Wide range of color option ","How much do you agree with the following statement: ‘I prefer to spend more to get better quality'.","Have you ever heard of the brand ""Akuna - Cinquestelle 1911""?","Craftsmanship","Durability","Popularity","Performance (6)","Quality","Craftsmanship (2)","Durability (2)","Popularity (2)","Performance (7)","Quality (2)","Craftsmanship (3)","Durability (3)","Popularity (3)","Performance (8)","Quality (3)","Craftsmanship (4)","Durability (4)","Popularity (4)","Performance (9)","Quality (4)","Craftsmanship (5)","Durability (5)","Popularity (5)","Performance (10)","Quality (5)","At what price would the product seem so low in quality that you would no longer consider buying it?
","At what price would the product start to seem like a very good deal?
","At what price would you start to consider the product too expensive?
","At what price would the product be so expensive that you would no longer consider buying it?
","At what price would the product seem so low in quality that you would no longer consider buying it?
 (2)","At what price would the product start to seem like a very good deal?
 (2)","At what price would you start to consider the product too expensive?
 (2)","At what price would the product be so expensive that you would no longer consider buying it?
 (2)"
"kdLeyR1","vGNaNOX","2026-02-05 14:47:49","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Q4Bxk0","KYM4Mvg","2026-02-05 14:48:18","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WO4ENbe","KYM4Mvg","2026-02-05 14:48:57","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9yp2vz","BzGY1GN","2026-02-05 14:52:41","Italiano","Sì","Maschio","Studente","Liguria","23","Centrocampista","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","4","3","4","5","2","5","3","2","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","80","170","200","40","90","170","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"obJeB45","rjlQEjL","2026-02-05 14:56:49","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Me0Nrzk","Y5ZbMxv","2026-02-05 15:16:57","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1AjdDAp","PdANBN1","2026-02-05 15:23:59","Italiano","Sì","Maschio","Studente","Liguria","23","Centrocampista","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","1","4","4","4","2","5","2","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","15","30","80","100","15","30","80","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZjxEvve","EkPGBzo","2026-02-05 15:25:42","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes ","Male","Employee","Liguria","23","Defender","Less than three times ","Both alternatively ","Between 80€ and 100€","Physical on-site shop","3","4","5","5","1","4","3","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","65","90","100","60","70","90","110"
"LZ87aRO","81dYJv5","2026-02-05 15:31:51","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bzvd0VY","PdANvDe","2026-02-05 15:38:41","Italiano","Sì","Maschio","Studente","Liguria","23","Attaccante","Più di dieci","Sintetico","Tra i 100€ e i 150€","recarti in negozio","4","5","4","4","1","5","3","1","4","Sì","1","2","5","3","2","5","4","1","4","5","3","4","1","3","3","5","5","3","5","5","5","4","2","4","5","250","100","150","200","250","100","180","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZjxEePe","rjlQGqo","2026-02-05 15:41:45","Italiano","Sì","Maschio","Dipendente","Lombardia","21","Attaccante","Più di dieci","Alterno queste due superfici","Più di 150€","recarti in negozio","3","4","4","4","2","5","3","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","50","250","300","30","50","250","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rjXaqvo","NpAxbVl","2026-02-05 15:46:18","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GxM9gWk","KYM4ajg","2026-02-05 15:56:02","Italiano","Sì","Maschio","Studente","Liguria","23","Difensore","Meno di tre","Sintetico","Più di 150€","recarti in negozio","4","5","5","5","3","5","2","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","70","130","180","40","60","120","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EkpdYbl","gD5VvqN","2026-02-05 15:58:00","Italiano","Sì","Maschio","Studente","Lombardia","23","Difensore","Tra le tre e le dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","4","4","4","2","5","4","2","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","65","80","190","250","65","80","190","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E2ayRD","jaBrvN1","2026-02-05 16:03:02","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"obJe145","xXd7zYy","2026-02-05 16:04:34","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9ypZDd","Xxe7QOe","2026-02-05 16:06:05","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Me0NQql","ZjdAeKo","2026-02-05 16:07:29","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLrQB6g","442YO0O","2026-02-05 16:08:11","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Me0N258","q4bqNXg","2026-02-05 16:14:18","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rjXa9jR","pbLN5OP","2026-02-05 16:17:21","Italiano","Sì","Maschio","Studente","Lombardia","18","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","4","5","2","1","4","2","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","90","40","100","120","70","40","90","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Q4B0Z9","EkPGAZN","2026-02-05 16:19:09","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XxjJApd","Xxe797z","2026-02-05 16:20:40","Italiano","Sì","Maschio","Studente","Lombardia","18","Centrocampista","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","4","4","5","4","2","4","2","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","80","120","30","35","90","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"obJe8OV","KYM4gQA","2026-02-05 16:22:24","Italiano","Sì","Maschio","Studente","Lombardia","18","Centrocampista","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","3","4","5","5","4","4","4","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","90","30","120","150","60","50","180","220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Q4BR8A","Y5Zbgq5","2026-02-05 16:25:46","Italiano","Sì","Maschio","Dipendente","Liguria","25","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","4","5","4","1","3","2","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","15","50","80","120","20","60","100","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jaK6A0x","yPlbGbp","2026-02-05 16:26:49","Italiano","Sì","Maschio","Dipendente","Lombardia","23","Centrocampista","Più di dieci","Sintetico","Tra i 100€ e i 150€","recarti in negozio","4","5","5","4","1","5","4","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","70","200","300","50","70","200","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYX5EEk","ZjdAKY0","2026-02-05 16:36:38","Italiano","Sì","Maschio","Libero professionista","Calabria","67","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","5","5","5","1","5","1","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","67","69","167","367","67","69","167","367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jaK6KAJ","NpAx9gb","2026-02-05 16:44:21","Italiano","Sì","Maschio","Altro","Lombardia","20","Difensore","Più di dieci","Sintetico","Tra i 100€ e i 150€","recarti in negozio","4","4","5","4","3","4","2","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","50","200","200","30","50","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pbgooqq","1ArYe0p","2026-02-05 17:31:00","Italiano","Sì","Maschio","Dipendente","Lombardia","21","Attaccante","Più di dieci","Alterno queste due superfici","Tra gli 80€ e i 100€","recarti in negozio","2","3","4","4","4","3","4","5","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","40","150","250","30","50","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WO4R5PR","obAZJlP","2026-02-05 17:42:51","Italiano","Sì","Maschio","Dipendente","Lombardia","28","Attaccante","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","2","3","4","4","4","3","2","3","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","50","150","250","20","50","120","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLrP51j","yPlbOoB","2026-02-05 17:43:12","Italiano","Sì","Maschio","Studente","Lombardia","22","Difensore","Più di dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","4","5","4","2","5","3","3","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","250","50","150","200","250","50","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rjXOldv","0QEYXq0","2026-02-05 17:52:39","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EkplLZl","eqBGdJe","2026-02-05 18:07:06","Italiano","Sì","Maschio","Dipendente","Puglia","23","Difensore","Meno di tre","Sintetico","Meno di 80€","andare online","1","2","4","4","3","3","3","2","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","70","75","15","20","50","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dW70Zxz","VLZ7LZv","2026-02-05 18:25:39","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4LpAQR","lbN2Bap","2026-02-05 18:39:31","Italiano","Sì","Maschio","Studente","Calabria","21","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","4","5","5","1","5","2","1","2","Sì","2","4","4","4","4","3","3","3","3","3","2","4","2","3","3","4","5","2","5","5","1","1","1","1","1","200","25","100","180","200","25","100","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Xxjo8LO","LZdx9Pz","2026-02-05 18:40:20","Italiano","Sì","Maschio","Dipendente","Lazio","23","Difensore","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","3","3","4","4","1","4","1","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","50","150","200","20","50","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9qeZR5G","QKA91kg","2026-02-05 18:43:18","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kdLGk91","XxeALpL","2026-02-05 18:45:40","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9qeZoVK","KYM2eBg","2026-02-05 18:49:48","Italiano","Sì","Maschio","Studente","Lazio","23","Difensore","Tra le tre e le dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","5","5","5","3","5","2","3","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","70","150","200","40","70","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"obJRzyx","jaB46BR","2026-02-05 18:56:34","Italiano","No","Maschio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gDBqOjd","ODAq4x8","2026-02-05 19:00:32","Italiano","Sì","Maschio","Studente","Lazio","22","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","3","5","3","3","3","2","3","4","Sì","2","3","5","4","3","5","5","3","4","4","4","4","2","4","3","4","4","3","5","5","5","5","3","4","5","130","40","110","130","110","40","130","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Q48AGZ","44207KY","2026-02-05 19:03:30","Italiano","Sì","Maschio","Dipendente","Lazio","23","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","2","3","5","4","3","4","2","2","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","90","150","200","50","100","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aQW4yNZ","9qd07B4","2026-02-05 19:10:56","Italiano","Sì","Maschio","Dipendente","Lombardia","23","Difensore","Tra le tre e le dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","1","1","2","4","3","3","1","1","3","Sì","5","4","2","4","4","5","3","2","4","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","50","70","120","150","60","80","130","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E2AZa9","b5lRWW7","2026-02-05 19:11:35","Italiano","Sì","Maschio","Libero professionista","Liguria","23","Difensore","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","3","5","2","5","1","4","1","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","90","120","8","9","80","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYXxyak","jaB4PeE","2026-02-05 19:18:24","Italiano","Sì","Maschio","Studente","Lombardia","20","Portiere","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","4","3","5","1","2","5","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","70","200","250","25","70","200","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Q4850B","Zjdka6v","2026-02-05 19:19:37","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gDBqrEO","9qd0QlX","2026-02-05 19:20:16","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"obJR1Vx","81dDx5x","2026-02-05 19:22:53","Italiano","Sì","Maschio","Dipendente","Lombardia","28","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","5","4","5","4","5","2","5","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","50","70","90","30","60","80","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GxMp4Bk","0QE0O56","2026-02-05 19:22:53","Italiano","Sì","Maschio","Dipendente","Lombardia","27","Portiere","Più di dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","2","3","5","4","2","4","3","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","150","200","15","30","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
